model,objective,seed,scenario_index,repeat_index,run_number,success,goal_pursuit,social_adaptation,world_grounding,strategic_sophistication,total,goal_pursuit_bf,strategic_sophistication_bf,total_bf,cluster,turn_first_talk,turn_first_captain_talk,turn_captain_trust_70,turn_first_probe,turns_used
claude_haiku,gain_watch_trust,20260302,1,1,1,0,3.0667,3.3,4.7905,3.885,3.76,3.0667,3.885,3.7605,tier_2,7,7,,7,50
claude_haiku,gain_watch_trust,20260302,1,2,11,0,4.4,2.8526,4.5238,3.366,3.79,4.4,3.366,3.7856,tier_2,7,7,15,7,50
claude_haiku,gain_watch_trust,20260302,1,3,21,0,3.2,3.4429,4.381,3.6338,3.66,3.2,3.6338,3.6644,tier_2,7,7,49,7,50
claude_haiku,gain_watch_trust,20260302,1,4,31,0,4.4,2.42,4.381,3.0233,3.56,4.4,3.0233,3.5561,tier_2,7,7,16,7,50
claude_haiku,gain_watch_trust,20260302,1,5,41,0,4.4,3.0526,4.5905,3.4493,3.87,4.4,3.4493,3.8731,tier_2,7,7,11,7,50
claude_haiku,gain_watch_trust,20260399,3,1,3,0,4.4,2.78,4.5238,3.3583,3.77,4.4,3.3583,3.7655,tier_2,7,7,18,7,50
claude_haiku,gain_watch_trust,20260399,3,2,13,0,3.0667,3.4538,4.6476,3.8305,3.75,3.0667,3.8305,3.7497,tier_2,7,7,35,7,50
claude_haiku,gain_watch_trust,20260399,3,3,23,0,4.4,2.4263,4.5238,3.0833,3.61,4.4,3.0833,3.6084,tier_2,7,7,13,7,50
claude_haiku,gain_watch_trust,20260399,3,4,33,0,4.2667,3.4158,4.5238,3.6623,3.97,4.2667,3.6623,3.9671,tier_2,7,7,33,7,50
claude_haiku,gain_watch_trust,20260399,3,5,43,0,3.9556,2.9895,4.381,3.2996,3.66,3.9556,3.2996,3.6564,tier_2,7,7,25,7,50
claude_haiku,gain_watch_trust,20260496,5,1,5,0,3.0222,3.6143,4.7238,3.7562,3.78,3.0222,3.7562,3.7791,tier_2,7,7,50,7,50
claude_haiku,gain_watch_trust,20260496,5,2,15,0,4.4,2.4091,4.4571,2.96,3.56,4.4,2.96,3.5566,tier_2,7,7,18,7,50
claude_haiku,gain_watch_trust,20260496,5,3,25,0,4.4,2.4333,4.5238,3.0033,3.59,4.4,3.0033,3.5901,tier_2,7,7,12,7,50
claude_haiku,gain_watch_trust,20260496,5,4,35,0,4.1333,2.6412,4.5905,3.1467,3.63,4.1333,3.1467,3.6279,tier_2,7,7,16,7,50
claude_haiku,gain_watch_trust,20260496,5,5,45,0,4.4,3.04,4.5905,3.4267,3.86,4.4,3.4267,3.8643,tier_2,7,7,12,7,50
claude_haiku,gain_watch_trust,20260593,7,1,7,0,3.9111,2.65,4.5905,3.1067,3.56,3.9111,3.1067,3.5646,tier_2,7,7,33,7,50
claude_haiku,gain_watch_trust,20260593,7,2,17,0,3.6,3.4158,4.5238,3.6286,3.79,3.6,3.6286,3.792,tier_2,7,7,19,7,50
claude_haiku,gain_watch_trust,20260593,7,3,27,0,4.4,2.396,4.3905,2.9167,3.53,4.4,2.9167,3.5258,tier_2,7,7,16,7,50
claude_haiku,gain_watch_trust,20260593,7,4,37,0,4.1333,3.4,4.5905,3.7217,3.96,4.1333,3.7217,3.9614,tier_2,7,7,17,7,50
claude_haiku,gain_watch_trust,20260593,7,5,47,0,3.7333,2.66,4.5238,2.9033,3.46,3.7333,2.9033,3.4551,tier_2,7,7,12,7,50
claude_haiku,gain_watch_trust,20260690,9,1,9,0,4.0889,2.8526,4.5905,3.4293,3.74,4.0889,3.4293,3.7403,tier_2,7,7,15,7,50
claude_haiku,gain_watch_trust,20260690,9,2,19,0,3.0222,3.5667,4.6476,3.7433,3.74,3.0222,3.7433,3.745,tier_2,7,7,,7,50
claude_haiku,gain_watch_trust,20260690,9,3,29,0,3.2444,3.4143,4.5905,3.6452,3.72,3.2444,3.6452,3.7236,tier_2,7,7,34,7,50
claude_haiku,gain_watch_trust,20260690,9,4,39,0,4.1333,3.4789,4.5238,3.6486,3.95,4.1333,3.6486,3.9462,tier_2,7,7,12,7,50
